"id","stratum","stratum_N","weight"
"W3011986621","french",233170,310.893333333333
"W7102388675","french",233170,310.893333333333
"W4210904555","french",233170,310.893333333333
"W7002339388","french",233170,310.893333333333
"W4283695819","french",233170,310.893333333333
"W2735124183","french",233170,310.893333333333
"W7014410367","french",233170,310.893333333333
"W6917885298","french",233170,310.893333333333
"W7001714069","french",233170,310.893333333333
"W4233409557","french",233170,310.893333333333
"W6994393587","french",233170,310.893333333333
"W2789523826","french",233170,310.893333333333
"W7067222742","french",233170,310.893333333333
"W2073708271","french",233170,310.893333333333
"W2887821866","french",233170,310.893333333333
"W4404808355","french",233170,310.893333333333
"W2592716210","french",233170,310.893333333333
"W2286729510","french",233170,310.893333333333
"W2987647317","french",233170,310.893333333333
"W4393019883","french",233170,310.893333333333
"W7061669075","french",233170,310.893333333333
"W839428233","french",233170,310.893333333333
"W2805124521","french",233170,310.893333333333
"W2260874471","french",233170,310.893333333333
"W6983113913","french",233170,310.893333333333
"W3198602049","french",233170,310.893333333333
"W1885738412","french",233170,310.893333333333
"W6950023519","french",233170,310.893333333333
"W7048980106","french",233170,310.893333333333
"W3023922148","french",233170,310.893333333333
"W6981257180","french",233170,310.893333333333
"W6992031429","french",233170,310.893333333333
"W4392477727","french",233170,310.893333333333
"W4221153427","french",233170,310.893333333333
"W1527029308","french",233170,310.893333333333
"W4230942689","french",233170,310.893333333333
"W7015576738","french",233170,310.893333333333
"W1590647622","french",233170,310.893333333333
"W6961101213","french",233170,310.893333333333
"W7039353570","french",233170,310.893333333333
"W4383736890","french",233170,310.893333333333
"W2068364214","french",233170,310.893333333333
"W3171562582","french",233170,310.893333333333
"W2981557899","french",233170,310.893333333333
"W2603797998","french",233170,310.893333333333
"W2291503063","french",233170,310.893333333333
"W6992126669","french",233170,310.893333333333
"W4206553602","french",233170,310.893333333333
"W2052442086","french",233170,310.893333333333
"W2801185740","french",233170,310.893333333333
"W1972264320","french",233170,310.893333333333
"W4391748595","french",233170,310.893333333333
"W2236706367","french",233170,310.893333333333
"W2091085418","french",233170,310.893333333333
"W3181702126","french",233170,310.893333333333
"W7000574329","french",233170,310.893333333333
"W4385567557","french",233170,310.893333333333
"W4292906583","french",233170,310.893333333333
"W4393870974","french",233170,310.893333333333
"W4399188219","french",233170,310.893333333333
"W2945124746","french",233170,310.893333333333
"W2775014008","french",233170,310.893333333333
"W2595455953","french",233170,310.893333333333
"W6992434041","french",233170,310.893333333333
"W568003221","french",233170,310.893333333333
"W2570910963","french",233170,310.893333333333
"W2616949327","french",233170,310.893333333333
"W4231889950","french",233170,310.893333333333
"W2922016123","french",233170,310.893333333333
